category,question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Practices & Activities","What is Figging?","A cooking technique with ginger","A type of dance move","A form of rope bondage","Inserting ginger root for sensual stimulation","3","Figging is the practice of inserting a peeled piece of ginger root into the anus or vagina, causing a warm, tingling, or burning sensation."
"Practices & Activities","What is Mummification?","An ancient Egyptian practice","A form of meditation technique","A type of punishment ritual","Wrapping a person tightly to restrict movement","3","Mummification is a form of bondage where a person is wrapped tightly in materials like plastic wrap or vet wrap, restricting all movement."
"Practices & Activities","What is Humiliation Play?","Making fun of someone maliciously","A type of comedy routine","Bullying behavior","Consensual acts designed to cause erotic humiliation","3","Humiliation play involves consensual acts that cause embarrassment or shame for the purpose of erotic arousal within agreed limits."
"Practices & Activities","What is Forced Feminization?","A political movement for rights","A historical practice","A type of surgical procedure","Consensual role-play where a male is dressed as female","3","Forced feminization is a consensual kink where a male submissive is dressed in women's clothing and treated in a feminine manner."
"Practices & Activities","What is Pegging?","A woodworking joining technique","A type of game or sport","A form of financial betting","A woman penetrating a man anally with strap-on","3","Pegging refers to a sexual practice where a woman uses a strap-on dildo to anally penetrate a male partner."
"Practices & Activities","What is Tease and Denial?","A marketing sales tactic","A type of children's game","A form of punishment technique","Arousing a partner but denying them orgasm","3","Tease and Denial involves sexually arousing a submissive but deliberately preventing them from reaching orgasm, extending their arousal."
"Practices & Activities","What is Orgasm Control?","A medical condition","A self-help technique","A type of meditation practice","The practice of controlling when a partner orgasms","3","Orgasm control is a BDSM practice where the dominant decides when, if, or how the submissive is allowed to orgasm."
"Practices & Activities","What is ""service-Oriented Submission""?","Working in customer service industry","A type of legal contract","A form of historical slavery","A submissive who enjoys performing tasks for dominant","3","This describes a submissive whose primary focus is serving their dominant through acts like cleaning, cooking, or personal care."
"Practices & Activities","What is a Collar in BDSM?","A piece of fashion clothing","A medical neck device","A type of necklace jewelry","A symbol of ownership in D/s relationship","3","A collar is often a symbolic piece of jewelry or leatherwear that signifies a submissive's commitment or ownership by a dominant."
"Practices & Activities","What is a Play Collar?","A toy for pet animals","A children's fashion item","A training device for pets","A collar used only during scenes, not permanent","3","A play collar is used specifically during BDSM scenes to signify the submissive's role for that session, unlike a permanent ownership collar."
"Practices & Activities","What is Mindfuck?","A mental health condition","An insult or derogatory term","A type of party game","Psychological play designed to confuse perceptions","3","Mindfuck is a form of psychological play that uses confusion, trickery, or mental challenges to create a powerful headspace."
"Practices & Activities","What is Isolation in sensory deprivation?","Solitary confinement punishment","A safety hazard to avoid","Restricting senses to heighten others","A type of relationship problem","2","Isolation, as part of sensory deprivation, involves restricting one or more senses (e.g., with blindfolds or earplugs) to intensify the remaining sensations."
"Practices & Activities","What is Verbal Humiliation?","Insults and bullying","A type of argument style","Consensual use of degrading language","A form of public speaking","2","Verbal humiliation is the consensual use of words to demean or shame a submissive for erotic pleasure, within pre-negotiated boundaries."
"Practices & Activities","What is Boot Worship?","A religious practice","A historical ritual","A type of cleaning service","Showing devotion to a dominant's footwear","3","Boot worship is a form of fetishism and service where a submissive cleans, kisses, or shows reverence for a dominant's boots."
"Practices & Activities","What is Foot Worship?","A religious practice","A medical condition","A type of massage therapy","Erotic admiration and service to feet","3","Foot worship involves the erotic admiration, kissing, massaging, or servicing of a dominant's feet by a submissive."
"Practices & Activities","What is CFNM?","Clothed Female, Nude Model","Clothed Female, Nude Master","Clothed Female, Nude Man","Clothed Female, Nude Male","3","CFNM stands for Clothed Female, Nude Male, a scenario often found in femdom that emphasizes power imbalance through nudity."
"Practices & Activities","What is CMNF?","Clothed Male, Nude Foot","Clothed Master, Nude Female","Clothed Man, Nude Female","Clothed Male, Nude Female","3","CMNF stands for Clothed Male, Nude Female, a scenario that can be used in various dynamics to create a power imbalance."
"Practices & Activities","What is a ""strap-on""?","A type of furniture support","A tool belt for work","A punishment device","A dildo harness for penetration","3","A strap-on is a harness worn around the hips or thighs that holds a dildo, allowing the wearer to penetrate a partner."
"Practices & Activities","What is Fisting?","A type of greeting gesture","A fighting technique","A massage method","Inserting entire hand into vagina or anus","3","Fisting is the slow, careful process of inserting the entire hand into the vagina or rectum. It requires extensive trust, communication, and lubrication."
"Practices & Activities","What is Water Sports?","Swimming and boating activities","Water balloon games","A type of cleansing ritual","Sexual activities involving urine","3","Water sports, or golden showers, involve the consensual use of urine for sexual arousal, either as part of humiliation play or sensation play."
"Practices & Activities","What is ""scat""?","Animal droppings in nature","A type of jazz singing","A fast pace of movement","Sexual activities involving feces","3","Scat refers to sexual activities involving feces. It is considered edge play due to high health risks and is a hard limit for many."
"Practices & Activities","What is Nipple Clamps?","A medical device for procedures","A type of office supply","A tool for clothing repair","Devices applying pressure to nipples for sensation","3","Nipple clamps are devices that apply pressure to the nipples, creating a pleasurable or painful sensation and increasing sensitivity."
"Practices & Activities","What is Clothespins used for in BDSM?","Hanging laundry to dry","A children's toy","A building block material","Improvised clamps for sensation play","3","Clothespins are commonly used in BDSM as inexpensive, adjustable clamps for zippers (a line of pins) or general sensation play on skin."
"Practices & Activities","What is a Zipper?","A clothing fastener","A fall safety hazard","A torture method","A line of clips pulled off skin quickly","3","A zipper is a BDSM practice where a line of clamps is attached to the skin and then quickly removed, often by pulling a string connecting them."
"Practices & Activities","What is Temperature Play?","Checking for fever or illness","Weather forecasting games","A type of cooking method","Using hot/cold items for body sensation","3","Temperature play involves using items like ice cubes, warm wax, or cooled metal to create contrasting sensations on the skin."
"Practices & Activities","What is Needle Play?","Sewing and embroidery","A medical procedure","A type of art form","Temporary placement of sterile needles in skin","3","Needle play is a form of edge play that involves the skilled insertion of sterile needles into the skin for aesthetic or sensation purposes."
"Practices & Activities","What is Branding?","Marketing and advertising","A farming technique","A punishment method","Leaving permanent marks through burning/cutting","3","Branding is an extreme form of body modification and edge play that creates a permanent mark, symbolizing deep ownership."
"Practices & Activities","What is Cutting in a BDSM context?","Making a wound carelessly","Interrupting conversation","A type of dance move","Creating designs on skin with scalpel","3","Cutting is a form of edge play and blood play where a skilled practitioner uses a scalpel to create temporary or permanent marks on the skin."
"Practices & Activities","What is Play Piercing?","Child's play with toys","A fashion trend","A type of game","Temporary piercing for scene duration","3","Play piercing involves the temporary insertion of sterile needles for the duration of a scene, after which they are removed."
"Equipment & Tools","What is a Flogger?","Someone who performs flogging","A type of single-tail whip","A cooking kitchen tool","An impact toy with handle and multiple tails","3","A flogger is a popular impact toy made of a handle and multiple tails (falls), which can provide a thuddy or stingy sensation depending on its design."
"Equipment & Tools","What is a ""single-Tail Whip""?","A whip with one end only","A type of flogger variant","A riding accessory","A whip with single long lash requiring skill","3","A single-tail whip has one long lash and requires significant skill to use safely. It is known for its sharp, stinging impact and loud crack."
"Equipment & Tools","What is a Riding Crop?","A farming tool","A gardening implement","A type of flogger","Short stiff whip with flat striking end","3","A riding crop is a short, rigid impact toy with a small, flat striking surface, delivering a very focused, stinging sensation."
"Equipment & Tools","What is a Paddle?","A water sport tool","A type of boat","A cooking utensil","Flat rigid implement for impact play","3","A paddle is a flat implement, often made of wood or leather, used for impact play that produces a broad, thudding sensation."
"Equipment & Tools","What is a Cane?","A walking assistance stick","A type of plant material","A measurement tool","Long thin flexible rod for impact play","3","A cane used in BDSM is typically made of rattan and is designed to deliver a sharp, stinging, and highly focused sensation."
"Equipment & Tools","What are Restraints?","Self-control techniques","Legal limitations","Rules and regulations","Devices used to limit movement like cuffs","3","Restraints is a general term for devices like handcuffs, leather cuffs, ropes, or straps used in bondage to restrict a person's movement."
"Equipment & Tools","What are ""spreaders""?","Butter knives for cooking","A farming technique","A medical device","Bars used to keep limbs apart","3","Spreader bars are rigid bars with cuffs attached to keep a submissive's ankles or wrists apart, preventing them from closing their legs or arms."
"Equipment & Tools","What is a ""St. Andrew's Cross""?","A religious symbol","A constellation pattern","A medical device","X-shaped structure for restraint","3","A St. Andrew's Cross is a common piece of dungeon furniture, an X-shaped frame to which a submissive can be restrained standing up."
"Equipment & Tools","What is a ""spanking Bench""?","A workbench for crafts","A children's toy","A type of seating","Furniture designed for spanking positioning","3","A spanking bench is a piece of furniture designed to support a person in a bent-over position, making them accessible for impact play or other activities."
"Equipment & Tools","What is a ""suspension Cuff""?","A type of handcuff","A medical device","A fashion bracelet","Heavy-duty cuff for weight support in suspension","3","Suspension cuffs are specifically designed with strong materials and secure attachments to safely hold a person's weight during rope suspension."
"Equipment & Tools","What is Rope typically made of for bondage?","Metal wire material","Rubber tubing","String or yarn","Natural fibers like jute or synthetic nylon","3","Bondage rope is often made of natural fibers like jute or hemp for their grip and lack of stretch, or nylon for its smoothness and strength."
"Equipment & Tools","What is ""safety Shears""?","Scissors for crafts","A type of knife","Gardening tools","Blunt-tipped scissors for emergency cutting","3","Safety shears are an essential safety tool in bondage. Their blunt tips allow for cutting rope near the skin without stabbing the person."
"Equipment & Tools","What is a Ball Gag?","A type of joke","A dance style","A game equipment","Gag with ball that fits in mouth","3","A ball gag is a common type of gag featuring a rubber or silicone ball strapped into the mouth, preventing clear speech."
"Equipment & Tools","What is a Bit Gag?","A computer term","A small-sized gag","A punishment device","Gag resembling horse's bit","3","A bit gag is modeled after a horse's bit and is placed in the mouth. It can be more comfortable for some than a ball gag."
"Equipment & Tools","What is a Ring Gag?","A gag for telephone use","A type of jewelry","A telephone device","Gag with ring keeping mouth open","3","A ring gag holds the mouth open with a ring in the center, which can also be used for other activities, like forced oral sex or drool control."
"Equipment & Tools","What is a Hood?","A neighborhood area","A type of vehicle","A ranking status","Head covering for sensory deprivation","3","A hood is a head covering used in BDSM for sensory deprivation, objectification, or aesthetic purposes. It can cover all or part of the head."
"Equipment & Tools","What is a Blindfold?","A type of dance","A window covering","A folding technique","Device to block eyesight","3","A blindfold is a simple but effective tool for sensory deprivation, removing the sense of sight to heighten other sensations."
"Equipment & Tools","What is a TENS Unit?","A tension measurement device","An exercise machine","A counting device","Device for electrical play (e-stim)","3","A TENS (Transcutaneous Electrical Nerve Stimulation) unit is a medical device commonly adapted for BDSM electrical play to stimulate nerves."
"Equipment & Tools","What is a Violet Wand?","A purple flashlight","A type of dildo","A massager tool","Device for high-frequency electrical play","3","A violet wand is an electrical play device that produces a high-voltage, low-current current, creating a sensation like static electricity sparks."
"Equipment & Tools","What is a Chastity Cage?","A prison cell","A bird cage","A furniture item","Device enclosing penis to prevent erection","3","A chastity cage is a device worn on the penis to prevent sexual activity. It is a common tool in orgasm control and denial dynamics."
"Equipment & Tools","What is a Butt Plug?","A drain stopper","An electrical plug","A tool device","Toy for anal insertion with flared base","3","A butt plug is a sex toy designed for anal insertion, typically with a flared base to prevent it from being lost inside the rectum."
"Equipment & Tools","What is a Dildo?","A silly person","A type of flower","A personal name","Phallic sex toy for penetration","3","A dildo is a non-vibrating phallic sex toy used for vaginal or anal penetration. It is a key component of pegging."
"Physiology & Psychology","What is Gag Reflex?","A safety mechanism","A legal concept","A punishment type","Physical reaction to prevent choking","3","The gag reflex is an automatic reaction to objects touching the back of the throat. With practice and desensitization, some people can learn to suppress it."
"Physiology & Psychology","What is ""sub Drop""?","A temperature decrease","A type of punishment","A physical fall","Emotional low after intense scene","3","Sub drop is a colloquial term for the crash that can follow the endorphin high of subspace, involving sadness, fatigue, or irritability. Aftercare helps mitigate it."
"Physiology & Psychology","What is Top Drop?","A price reduction","A punishment technique","A physical fall","Emotional low affecting dominant after scene","3","Top drop is the similar emotional low that can affect the dominant after a scene, often due to the mental effort required for control and risk management."
"Physiology & Psychology","What are Endorphins in BDSM?","Hormones causing pain","A type of drug","Safety words","Natural chemicals causing euphoria in play","3","Endorphins are the body's natural painkillers, released during intense or painful BDSM activities, contributing to the high experienced in subspace."
"Physiology & Psychology","What is Trust in BDSM?","A financial agreement","A legal document","A type of game","Reliance on partner to respect limits","3","Trust is fundamental in BDSM, as it allows the submissive to fully surrender control, relying on the dominant to respect all negotiated limits and safewords."
"Physiology & Psychology","What is Communication in BDSM?","Talking constantly","A formal lecture","A punishment type","Continuous process discussing desires and limits","3","Communication is paramount in BDSM, involving thorough negotiation, continuous checking in, and open discussion of feelings before, during, and after a scene."
"Physiology & Psychology","What is Risk Awareness?","Being afraid","A meditation practice","A safety rule","Understanding potential dangers in activities","3","Risk Awareness is part of RACK, meaning participants acknowledge and accept the inherent risks of their chosen activities."
"Physiology & Psychology","What is The Power Exchange?","A financial transaction","A political deal","A type of contract","Consensual surrender of control to partner","3","The Power Exchange is the core dynamic of D/s relationships, where control is voluntarily surrendered and taken."
"Safety & Ethics","What does ""SSC"" primarily enforce?","Style, speed, compliance","Structure, sensation, caring","Silence, secrecy, control","Safety, sanity, and consent","3","SSC (Safe, Sane, Consensual) is the foundational ethical framework emphasizing safety protocols and informed consent."
"Safety & Ethics","Who is responsible for stopping a scene if a safeword is used?","The submissive only","The dominant only","A neutral third party","Both partners immediately","3","Both partners are responsible for stopping the scene immediately and completely when a safeword is used, regardless of who used it."
"Safety & Ethics","What is the primary role of Negotiation?","To maximize pain intensity","To choose outfits","To select music","Establish limits and expectations before play","3","Negotiation is the vital safety step where all boundaries, limits (hard and soft), and planned activities are discussed and agreed upon."
"Safety & Ethics","What is a Go or Yellow safeword typically used for?","To stop immediately","To end relationship","To increase intensity","Signal discomfort but continue with caution","3","A Yellow safeword (often a color, like Amber/Yellow) signals that the user is uncomfortable, needs a slight break, or needs the intensity reduced, but doesn't require a full stop."
"Safety & Ethics","If a safeword is used, what must happen immediately?","Scene continues gently","Submissive is punished","Partners switch roles","Action stops and check on submissive","3","The action must stop immediately. The dominant must check on the submissive to ensure their well-being and initiate aftercare if needed."
"Safety & Ethics","What is the Rule of Threes in BDSM?","Three partners needed","Three safewords required","Three hard limits minimum","Third person needed for high-risk play","3","The Rule of Threes (less common/more specific) suggests a third person (spotter or EMT) is needed for high-risk edge play like suspension or blood play."
"Safety & Ethics","What should be present during all bondage scenes involving ropes or cuffs?","A camera","Bottle of water","Blindfold","Safety shears or key for quick release","3","Safety shears (for ropes) or a key (for cuffs) are essential for immediate release in case of an emergency (e.g., choking, circulation loss)."
"Safety & Ethics","Which of these is the most important principle for ensuring the safety of impact play?","Hitting as hard as possible","Hitting randomly","Using most expensive tool","Avoiding bones and sensitive areas","3","Avoiding impact to the head, spine, kidneys, and major arteries is crucial for safety, regardless of the tool used."
"Safety & Ethics","What is the main purpose of Aftercare?","Clean up play space","Plan next scene","Critique performance","Ensure physical/emotional recovery","3","Aftercare is non-negotiable and focuses on the emotional and physical needs of the partners, especially preventing drop."
